direction,days,SF,SV,LAW
0,012345,4:51am,6:10am,6:14am
0,012345,5:30am,6:30am,--
0,012345,5:39am,6:57am,7:05am
0,012345,6:06am,--,--
0,012345,6:12am,7:14am,--
0,012345,6:32am,7:34am,7:38am
0,012345,6:39am,7:57am,8:05am
0,012345,7:06am,--,--
0,012345,7:12am,8:14am,--
0,012345,7:32am,8:34am,8:38am
0,012345,7:39am,8:57am,9:05am
0,012345,8:06am,--,--
0,012345,8:12am,9:14am,--
0,012345,8:32am,9:34am,9:38am
0,012345,8:39am,9:59am,10:04am
0,012345,9:14am,10:13am,--
0,012345,9:38am,10:59am,11:04am
0,012345,10:14am,11:13am,--
0,012345,10:38am,11:59am,12:04pm
0,012345,11:14am,12:13pm,--
0,012345,11:38am,12:59pm,1:04pm
0,012345,12:14pm,1:13pm,--
0,012345,12:38pm,1:59pm,2:04pm
0,012345,1:14pm,2:13pm,--
0,012345,1:38pm,2:59pm,3:04pm
0,012345,2:14pm,3:13pm,--
0,012345,2:38pm,3:59pm,4:04pm
0,012345,3:11pm,4:13pm,--
0,012345,3:33pm,4:35pm,4:39pm
0,012345,3:39pm,4:57pm,5:05pm
0,012345,4:06pm,--,--
0,012345,4:12pm,5:14pm,--
0,012345,4:32pm,5:34pm,5:38pm
0,012345,4:39pm,5:57pm,6:05pm
0,012345,5:06pm,--,--
0,012345,5:12pm,6:14pm,--
0,012345,5:32pm,6:34pm,6:38pm
0,012345,5:39pm,6:57pm,7:05pm
0,012345,6:06pm,--,--
0,012345,6:12pm,7:14pm,--
0,012345,6:32pm,7:34pm,7:38pm
0,012345,6:43pm,8:02pm,8:06pm
0,012345,7:14pm,8:13pm,--
0,012345,7:38pm,9:00pm,9:04pm
0,012345,8:14pm,9:13pm,--
0,012345,8:32pm,9:55pm,9:59pm
0,012345,9:02pm,10:26pm,10:30pm
0,012345,9:30pm,10:53pm,10:57pm
0,012345,10:00pm,11:24pm,11:28pm
0,012345,10:30pm,11:51pm,11:55pm
0,012345,11:00pm,12:22am,12:26am
0,012345,12:05am,1:23am,1:27am
0,67,8:28am,9:51am,9:55am
0,67,9:58am,11:21am,11:26am
0,67,10:58am,12:21pm,12:26pm
0,67,11:58am,1:21pm,1:26pm
0,67,12:58pm,2:21pm,2:26pm
0,67,1:58pm,3:21pm,3:26pm
0,67,2:58pm,4:21pm,4:26pm
0,67,3:58pm,5:21pm,5:26pm
0,67,4:58pm,6:21pm,6:26pm
0,67,5:58pm,7:21pm,7:26pm
0,67,6:58pm,8:21pm,8:26pm
0,67,7:58pm,9:21pm,9:26pm
0,67,8:58pm,10:21pm,10:26pm
0,67,9:58pm,11:21pm,11:26pm
0,67,10:58pm,12:20am,12:25am
0,67,12:05am,1:26am,1:31am
1,012345,6:03am,4:44am,4:40am
1,012345,6:22am,5:23am,--
1,012345,6:52am,5:31am,5:27am
1,012345,7:00am,5:58am,--
1,012345,7:33am,6:14am,6:09am
1,012345,7:05am,--,--
1,012345,7:38am,6:37am,6:33am
1,012345,8:00am,6:58am,--
1,012345,8:33am,7:14am,7:09am
1,012345,8:05am,--,--
1,012345,8:38am,7:37am,7:33am
1,012345,9:00am,7:58am,--
1,012345,9:33am,8:14am,8:09am
1,012345,9:05am,--,--
1,012345,9:38am,8:37am,8:33am
1,012345,10:01am,8:58am,--
1,012345,10:32am,9:12am,9:08am
1,012345,10:57am,9:56am,--
1,012345,11:33am,10:10am,10:06am
1,012345,11:57am,10:56am,--
1,012345,12:33pm,11:10am,11:06am
1,012345,12:57pm,11:56am,--
1,012345,1:33pm,12:10pm,12:06pm
1,012345,1:57pm,12:56pm,--
1,012345,2:33pm,1:10pm,1:06pm
1,012345,2:57pm,1:56pm,--
1,012345,3:33pm,2:10pm,2:06pm
1,012345,3:57pm,2:56pm,--
1,012345,4:33pm,3:10pm,3:06pm
1,012345,4:39pm,3:38pm,3:33pm
1,012345,5:00pm,3:58pm,--
1,012345,5:33pm,4:14pm,4:09pm
1,012345,5:05pm,--,--
1,012345,5:38pm,4:38pm,4:34pm
1,012345,6:00pm,4:58pm,--
1,012345,6:33pm,5:14pm,5:09pm
1,012345,6:05pm,--,--
1,012345,6:38pm,5:37pm,5:33pm
1,012345,7:00pm,5:58pm,--
1,012345,7:34pm,6:14pm,6:09pm
1,012345,7:05pm,--,--
1,012345,7:39pm,6:37pm,6:33pm
1,012345,8:00pm,6:58pm,--
1,012345,8:35pm,7:12pm,7:08pm
1,012345,8:57pm,7:56pm,--
1,012345,9:33pm,8:10pm,8:06pm
1,012345,10:03pm,8:40pm,8:36pm
1,012345,10:30pm,9:05pm,9:01pm
1,012345,11:00pm,9:35pm,9:31pm
1,012345,11:29pm,10:05pm,10:01pm
1,012345,12:00am,10:35pm,10:31pm
1,012345,12:53am,11:28pm,11:24pm
1,67,8:56am,7:35am,7:31am
1,67,10:52am,9:28am,9:24am
1,67,11:53am,10:28am,10:24am
1,67,12:53pm,11:28am,11:24am
1,67,1:52pm,12:28pm,12:24pm
1,67,2:52pm,1:28pm,1:24pm
1,67,3:52pm,2:28pm,2:24pm
1,67,4:52pm,3:28pm,3:24pm
1,67,5:52pm,4:28pm,4:24pm
1,67,6:52pm,5:28pm,5:24pm
1,67,7:52pm,6:28pm,6:24pm
1,67,8:52pm,7:28pm,7:24pm
1,67,9:52pm,8:28pm,8:24pm
1,67,10:52pm,9:28pm,9:24pm
1,67,11:59pm,10:35pm,10:31pm
1,67,12:52am,11:28pm,11:24pm
